time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2019/07/11/08:55:54.784158,0.5,0.0,0.0,0.0,0.0,0.0436658829451
2019/07/11/08:55:54.784164,0.229671403766,0.0,0.0,0.0,0.0,0.4
2019/07/11/08:55:54.784199,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:57.109658,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.139367,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.193491,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.248834,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.287921,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.339984,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.364500,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.372000,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.379583,0.285498470068,0.0,0.0,0.0,0.0,0.0664065301418
2019/07/11/08:55:57.386231,0.317739099264,0.0,0.0,0.0,0.0,0.291040205956
2019/07/11/08:55:57.395270,0.346535503864,0.0,0.0,0.0,0.0,0.29620218277
2019/07/11/08:55:57.402171,0.369707763195,0.0,0.0,0.0,0.0,0.309560585022
2019/07/11/08:55:57.409004,0.3882586658,0.0,0.0,0.0,0.0,0.312804269791
2019/07/11/08:55:57.416136,0.403125524521,0.0,0.0,0.0,0.0,0.317007088661
2019/07/11/08:55:57.424014,0.40940362215,0.0,0.0,0.0,0.0,0.321175050735
2019/07/11/08:55:57.431519,0.431376963854,0.0,0.0,0.0,0.0,0.32483727932
2019/07/11/08:55:57.438784,0.449906051159,0.0,0.0,0.0,0.0,0.32483727932
2019/07/11/08:55:57.446115,0.467911958694,0.0,0.0,0.0,0.0,0.32483727932
2019/07/11/08:55:57.453922,0.489274919033,0.0,0.0,0.0,0.0,0.30485200882
2019/07/11/08:55:57.461441,0.5,0.0,0.0,0.0,0.0,0.277734136581
2019/07/11/08:55:57.469316,0.5,0.0,0.0,0.0,0.0,0.0931756258011
2019/07/11/08:55:57.476269,0.5,0.0,0.0,0.0,0.0,0.0726148724556
2019/07/11/08:55:57.483690,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.491406,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.499032,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.506225,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.551428,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.558924,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.575072,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.581383,0.5,0.0,0.0,0.0,0.0,-0.0
