time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/07/11/08:55:57.058382,67,1562828157,58257102,map,0,1,47.0590958333,15.4585738333,408.4,"(0.37711880999999997, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:58.063920,68,1562828158,63760995,map,0,1,47.0590953333,15.4585688333,408.5,"(0.37711880999999997, 0.0, 0.0, 0.0, 0.4666256099999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:59.062603,69,1562828159,62396049,map,0,1,47.059095,15.4585621667,408.6,"(0.36869183999999994, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:00.064302,70,1562828160,63998937,map,0,1,47.059095,15.4585556667,408.7,"(0.36869183999999994, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:01.063594,71,1562828161,63332080,map,0,1,47.059096,15.4585446667,408.6,"(0.3603600899999999, 0.0, 0.0, 0.0, 0.4479624899999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:02.063684,72,1562828162,63536882,map,0,1,47.059097,15.4585321667,408.8,"(0.3521235599999999, 0.0, 0.0, 0.0, 0.42968025, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:03.063178,73,1562828163,63021898,map,0,1,47.0590983333,15.4585201667,408.8,"(0.3728323599999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:04.062730,74,1562828164,62581062,map,0,1,47.0590993333,15.458508,408.6,"(0.3642122499999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:05.065044,75,1562828165,64750909,map,0,1,47.0591,15.4584975,408.6,"(0.3728323599999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:06.061970,76,1562828166,61695098,map,0,1,47.0590995,15.4584868333,408.5,"(0.3728323599999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:07.063324,77,1562828167,63150882,map,0,1,47.0590983333,15.4584771667,408.6,"(0.3521235599999999, 0.0, 0.0, 0.0, 0.42968025, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:08.059605,78,1562828168,59483051,map,0,1,47.0590986667,15.4584665,408.7,"(0.3728323599999999, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:09.064987,79,1562828169,64748048,map,0,1,47.0590998333,15.458455,408.7,"(0.3642122499999999, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:10.063591,80,1562828170,63363075,map,0,1,47.0591015,15.4584436667,408.6,"(0.3556929599999999, 0.0, 0.0, 0.0, 0.46457856, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:11.063477,81,1562828171,63241004,map,0,1,47.0591035,15.4584316667,408.4,"(0.34727448999999994, 0.0, 0.0, 0.0, 0.46457856, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:12.062960,82,1562828172,62797069,map,0,1,47.0591036667,15.458426,408.3,"(0.3389568399999999, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:13.063289,83,1562828173,63083887,map,0,1,47.0591066667,15.4584183333,408.2,"(0.3389568399999999, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:14.061696,84,1562828174,61506032,map,0,1,47.0591085,15.4584153333,408.0,"(0.34727448999999994, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:15.061659,85,1562828175,61531066,map,0,1,47.0591095,15.458415,407.9,"(0.3389568399999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:16.060597,86,1562828176,60415029,map,0,1,47.0591133333,15.4584093333,407.7,"(0.39866595999999993, 0.0, 0.0, 0.0, 0.52388644, 0.0, 0.0, 0.0, 151.7824)",1
2019/07/11/08:56:17.061771,87,1562828177,61625003,map,0,1,47.0591196667,15.4584031667,407.5,"(0.3389568399999999, 0.0, 0.0, 0.0, 0.44542275999999986, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:18.061968,88,1562828178,61821937,map,0,1,47.0591265,15.4583985,407.4,"(0.3307400100000001, 0.0, 0.0, 0.0, 0.45495025, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:19.058856,89,1562828179,58731079,map,0,1,47.0591346667,15.4583955,407.2,"(0.38900169000000007, 0.0, 0.0, 0.0, 0.5578596100000001, 0.0, 0.0, 0.0, 151.7824)",1
2019/07/11/08:56:20.063555,90,1562828180,63411951,map,0,1,47.0591423333,15.4583923333,407.1,"(0.31236920999999995, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:21.063554,91,1562828181,63410043,map,0,1,47.0591486667,15.4583921667,407.1,"(0.31236920999999995, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:22.063640,92,1562828182,63498020,map,0,1,47.0591506667,15.4583925,407.1,"(0.32012964, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:23.064024,93,1562828183,63848972,map,0,1,47.0591538333,15.4583931667,407.1,"(0.31236920999999995, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:24.060513,94,1562828184,60396909,map,0,1,47.0591555,15.4583936667,407.2,"(0.38900169000000007, 0.0, 0.0, 0.0, 0.5694211600000001, 0.0, 0.0, 0.0, 151.7824)",1
2019/07/11/08:56:25.064528,95,1562828185,64408063,map,0,1,47.0591571667,15.4583945,407.2,"(0.3307400100000001, 0.0, 0.0, 0.0, 0.49406840999999996, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:26.059520,96,1562828186,59382915,map,0,1,47.0591583333,15.458395,407.2,"(0.3389568399999999, 0.0, 0.0, 0.0, 0.5041, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:27.064165,97,1562828187,63829898,map,0,1,47.0591605,15.4583935,407.1,"(0.34727448999999994, 0.0, 0.0, 0.0, 0.5041, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:28.062812,98,1562828188,62665939,map,0,1,47.0591623333,15.4583933333,407.1,"(0.34727448999999994, 0.0, 0.0, 0.0, 0.5041, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:29.062762,99,1562828189,62604904,map,0,1,47.0591636667,15.458393,407.0,"(0.3359361599999999, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:30.059385,100,1562828190,59247016,map,0,1,47.0591646667,15.4583928333,406.8,"(0.3359361599999999, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:31.065608,101,1562828191,65414905,map,0,1,47.0591655,15.4583926667,406.6,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.4666256099999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:32.063389,102,1562828192,63271045,map,0,1,47.0591661667,15.4583923333,406.5,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:33.063204,103,1562828193,63092947,map,0,1,47.0591665,15.4583921667,406.3,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:34.064243,104,1562828194,63988924,map,0,1,47.0591668333,15.4583921667,406.2,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.45724643999999987, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:35.062747,105,1562828195,62505960,map,0,1,47.059167,15.4583921667,406.1,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.4479624899999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:36.063303,106,1562828196,63193082,map,0,1,47.0591673333,15.4583921667,405.9,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.43877375999999985, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:37.060624,107,1562828197,60503959,map,0,1,47.0591675,15.458392,405.7,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.43877375999999985, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:38.062835,108,1562828198,62711000,map,0,1,47.0591678333,15.4583918333,405.6,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.42968025, 0.0, 0.0, 0.0, 121.88159999999998)",1
